Model,Horizon,RMSE,MAE,MAPE,MASE,R2
Persistence,1,0.0,0.0,0.0,0.0,1.0
Persistence,2,0.5637171264007113,0.3826788218793829,37.18926511767184,1.0003986810412104,0.4972364815664344
Persistence,3,0.7837721210453394,0.5694950911640954,54.940544166627404,1.4865918752463754,0.02849362568638447
Persistence,4,0.8985261424196298,0.6760168302945302,64.03446568722362,1.7659468064492356,-0.2767117153280614
Persistence,5,0.9824155192455064,0.7622019635343619,73.58508714811467,1.9867162936772609,-0.519511656421999
Persistence,6,1.056025255764967,0.8284712482468444,80.19307202400306,2.15629502912234,-0.7510355669562876
Persistence,7,1.0951377941696625,0.8674614305750351,86.64674339070763,2.261080187026195,-0.881686384491329
Persistence,8,1.09702197926997,0.8707573632538568,88.29445647284135,2.2709173541602126,-0.8895993988987334
Persistence,9,1.102031784158666,0.8701262272089761,90.11754456843603,2.2696867535225347,-0.907939320577906
Persistence,10,1.1130048533796084,0.8795231416549788,91.4384665955885,2.293778324545171,-0.9488422045505074
Linear Regression,1,0.2091062042931405,0.17267467132948588,24.03690792813648,0.4520694590852425,0.930966436925844
Linear Regression,2,0.5619106084265069,0.4455046111512387,56.803999943165614,1.1646378109054378,0.5004536838653206
Linear Regression,3,0.7083666223110772,0.5731095550317633,73.4225145251569,1.496026956781606,0.20643553869137243
Linear Regression,4,0.7722218603760642,0.6296479192317848,81.64351986842419,1.6448181203866301,0.05699153291032111
Linear Regression,5,0.8095700553501665,0.6646197772276476,87.12045896385021,1.7323636039922004,-0.03186404313966307
Linear Regression,6,0.8340706585365888,0.6865784976241359,90.6688176664799,1.78698513033744,-0.09232543146633598
Linear Regression,7,0.8444322431678236,0.6949091502848793,92.97223086278568,1.8113143202813986,-0.1187661655822041
Linear Regression,8,0.8458054981179253,0.6964210255262144,93.68883861671907,1.8162517589971443,-0.1232594787659329
Linear Regression,9,0.8477885714245277,0.6982208059963138,94.40674421384344,1.8212788729365093,-0.1291494654876535
Linear Regression,10,0.8494535590693117,0.6995884891188916,94.42587720177939,1.8245124391186447,-0.13517244502728598
XGBoost,1,0.36082039618409373,0.2448852240621291,31.86549981854312,0.6411196843600485,0.7944541986034521
XGBoost,2,0.47109088104053454,0.3280627857710837,44.564824790948926,0.8576214815659203,0.6488839409632676
XGBoost,3,0.5036088099902939,0.35435161941683474,48.48842013410955,0.9249881984560883,0.5988999931506677
XGBoost,4,0.5120837200415408,0.35967308336354237,49.55907386958629,0.9395676327390641,0.5853197543054522
XGBoost,5,0.5178047817025155,0.3641749808363627,50.36042657956641,0.9492397065237792,0.5778704834051225
XGBoost,6,0.5200245876467622,0.36566100508434407,50.7200294152511,0.9517204239444204,0.5753861904598974
XGBoost,7,0.5207506095253429,0.3660072824396559,50.78037736951065,0.9540156893004617,0.5745296680257905
XGBoost,8,0.5206980145447587,0.36583904300464987,50.63291694793368,0.9541007250103709,0.5742928664950642
XGBoost,9,0.5205812884825674,0.3657860704508269,50.594277418971934,0.9541371961494853,0.5742512067299814
XGBoost,10,0.5201373746787724,0.3652633285121195,50.33012458465122,0.9525992734151261,0.5743832779875124
SARIMA,1,0.8588048580349007,0.7094288280295751,98.78971519970206,1.857314127645558,-0.16443549904931043
SARIMA,2,0.9044956770840099,0.7585795441030002,106.17187517371937,1.9830780591894819,-0.2943576329559927
SARIMA,3,0.9317895769564595,0.785875041104315,110.61758456582567,2.0514232153898533,-0.37309861074797523
SARIMA,4,0.9161460594047186,0.7704953858610932,108.14291687605966,2.0127514657474626,-0.3272747874863373
SARIMA,5,0.8840671503816693,0.7361783443674763,101.99031181606739,1.9188844712826278,-0.23050707302393691
SARIMA,6,0.8891692934155542,0.7417652298076618,102.82667159431347,1.9306218305037526,-0.2414100888551609
SARIMA,7,0.9041717916751252,0.7583061883930929,105.45969420559132,1.9765617672919285,-0.2826601903652406
SARIMA,8,0.8603437930914593,0.711492385514042,97.21334439436684,1.8555575569053677,-0.16220608238372036
SARIMA,9,0.8571647783642051,0.7078251834299966,96.54492297610193,1.8463314774384825,-0.1542634719803584
SARIMA,10,0.8391091901482828,0.6887568306633206,92.35375548475507,1.7962636958990927,-0.1076932652734961
Temporal Fusion Transformer,1,0.9785163862583858,0.8018180300101467,115.96300861569402,2.099192894479743,-0.5116897121923951
Temporal Fusion Transformer,2,0.9425243126936705,0.7741667220896574,109.89292210474551,2.0238260478616152,-0.40548566865819136
Temporal Fusion Transformer,3,0.9069481508063828,0.7452005536898437,106.19062020095997,1.9452478269478461,-0.30086117123541545
Temporal Fusion Transformer,4,0.8849813171949603,0.7259034735206552,104.06636312068227,1.8962648020104782,-0.23851027439374817
Temporal Fusion Transformer,5,0.8656200604902886,0.7095478148181348,101.32510373596367,1.8494707076134853,-0.17969090778464003
Temporal Fusion Transformer,6,0.8208096690157791,0.671685081881807,95.43538670516585,1.7482214455387277,-0.05786752538085849
Temporal Fusion Transformer,7,0.8233859163310198,0.67364985882516,95.78099804131602,1.7559009485561314,-0.06369367505604662
Temporal Fusion Transformer,8,0.8236372120295735,0.6737541148385048,95.62808360631482,1.7571369205609026,-0.06515056973236044
Temporal Fusion Transformer,9,0.823716011193244,0.6734965037660163,95.6199064488624,1.756786596405329,-0.06593649903735921
Temporal Fusion Transformer,10,0.8234954119349509,0.6734571328585369,95.19889573982827,1.7563623976448268,-0.06685384727081956
