Model,Horizon,MAE,RMSE
Persistence,1,0.3779,0.5282
Persistence,2,0.5942,0.7998
Persistence,3,0.7154,0.9399
Persistence,4,0.7688,0.9764
Persistence,5,0.8481,1.0465
Persistence,6,0.9466,1.1639
Persistence,7,0.9308,1.1431
Persistence,8,0.924,1.1451
Persistence,9,0.9221,1.1599
Persistence,10,0.9173,1.176
LinearReg,1,0.3611,0.4769
LinearReg,2,0.5445,0.6908
LinearReg,3,0.6647,0.8138
LinearReg,4,0.6672,0.8271
LinearReg,5,0.6908,0.8513
LinearReg,6,0.7691,0.9413
LinearReg,7,0.7777,0.9592
LinearReg,8,0.7731,0.9505
LinearReg,9,0.7604,0.9397
LinearReg,10,0.7596,0.9507
XGBoost,1,0.389,0.4813
XGBoost,2,0.522,0.6629
XGBoost,3,0.6249,0.7673
XGBoost,4,0.6176,0.7778
XGBoost,5,0.6272,0.7959
XGBoost,6,0.7293,0.8934
XGBoost,7,0.7204,0.9021
XGBoost,8,0.75,0.9384
XGBoost,9,0.7078,0.9023
XGBoost,10,0.6912,0.8841
TFT,1,0.5142,0.6401
TFT,2,0.5807,0.7432
TFT,3,0.6468,0.8213
TFT,4,0.6611,0.8171
TFT,5,0.6979,0.8595
TFT,6,0.6966,0.8589
TFT,7,0.6994,0.8577
TFT,8,0.7155,0.8847
TFT,9,0.6937,0.8399
TFT,10,0.6806,0.8373
SARIMA,1,0.3882,0.5081
SARIMA,2,0.5648,0.7012
SARIMA,3,0.6423,0.772
SARIMA,4,0.6415,0.7838
SARIMA,5,0.6635,0.8066
SARIMA,6,0.7071,0.8671
SARIMA,7,0.6717,0.8238
SARIMA,8,0.6941,0.8343
SARIMA,9,0.6755,0.8215
SARIMA,10,0.6745,0.8201
